user_name;tweet;personal (0=no, 1=yes);tweet_proc
DiaPromo1;The latest The Diabetes Digest! https://t.co/1xNjljbrDX Thanks to @JoslinDiabetes @Diabetes_Sanofi #t1d #diabetes;0;['latest', 'diabet', 'digest', 'URL', 'thank', 'USER', 'USER', 'TYPEONE', 'diabet']
david_lockton;Weight loss surgery may be best approach to control type 2 diabetes https://t.co/MXyKx7AgY2;0;['weight', 'loss', 'surgeri', 'may', 'best', 'approach', 'control', 'TYPETWO', 'diabet', 'URL']
PowerOfThePaws;#pawcircle @Dora85931250 Elderly lady in remote #Tombstone #AZ needs help for #diabetic #doxie https://t.co/IwlrvfkcFU #Tuscon RT;0;['pawcircl', 'USER', 'elder', 'ladi', 'remot', 'tombston', 'az', 'need', 'help', 'diabet', 'doxi', 'URL', 'tuscon', 'rt']
ieiDM2;Estimating the prevalence, hospitalisation and mortality from type 2 diabetes mellitus in… https://t.co/wnhd7QLmdT… https://t.co/j60cGUnGYH;0;['estim', 'preval', 'hospitalis', 'mortal', 'TYPETWO', 'diabet', 'mellitus', 'URL', 'URL']
EndSweating;Secondary #hyperhidrosis can also be caused by diabetes mellitus, tumors, gout, menopause, certain drugs, or mercury poisoning.;0;['secondari', 'hyperhidrosi', 'also', 'caus', 'diabet', 'mellitus', 'tumor', 'gout', 'menopaus', 'certain', 'drug', 'mercuri', 'poison']
Type1Wells;So #gbdoc .... I'm very excited to say that I'm getting CGM!!!(self funding). Thinking of getting dexcom. But to G4 or G5 it?? Any advice?;1;['gbdoc', 'i', 'excit', 'say', 'i', 'get', 'cgm', 'self', 'fund', 'think', 'get', 'dexcom', 'g4', 'g5', 'advic']
bigpurpleduck;Hit the diabetic jackpot. 2 bottles of old school Lucozade in my local chemist https://t.co/jRqViHqrdT;1;['hit', 'diabet', 'jackpot', '2', 'bottl', 'old', 'school', 'lucozad', 'my', 'local', 'chemist', 'URL']
diaTribeNews;New studies highlight reduced hypo risk for people with type 2 #diabetes who switch to “next-gen” basal insulins https://t.co/uemlVGhXqR;0;['new', 'studi', 'highlight', 'reduc', 'hypo', 'risk', 'peopl', 'TYPETWO', 'diabet', 'switch', 'next-gen', 'basal', 'insulin', 'URL']
h_c_services;#ASTSport Is it true that coffee can actually improve glucose metabolism and fat loss?. Read Blog: https://t.co/y3nkNefdbi;0;['astsport', 'true', 'coffe', 'actual', 'improv', 'glucos', 'metabol', 'fat', 'loss', 'read', 'blog', 'URL']
eGlobalNatural;Get walking .. It's the best medicine for our mental health:  https://t.co/PqAM1yCxG4 #health #bloodsugar… https://t.co/ejWfYnBYPp;0;['get', 'walk', 'best', 'medicin', 'mental', 'health', 'URL', 'health', 'bloodsugar', 'URL']
NatalieJoel;#banting #lchf #diabetes #pale 10 myths:Low carb https://t.co/BODFCcvr4d  lc healthy nutritious. https://t.co/xwooGCW3qT via @ditchthe_carbs;0;['bant', 'lchf', 'diabet', 'pale', '10', 'myth', 'low', 'carb', 'URL', 'lc', 'healthi', 'nutriti', 'URL', 'via', 'USER']
mdbdhealth;Weight loss surgery may be best approach to control type 2 diabetes https://t.co/zdYspe6CoU;0;['weight', 'loss', 'surgeri', 'may', 'best', 'approach', 'control', 'TYPETWO', 'diabet', 'URL']
iambrilliantbri;"Y'all look it's me ☺️☺️☺️☺️I made it on @BeyondType1 

#typeonediabetes #t1d https://t.co/3363KYiFtF";1;['look', 'me', 'EMOT_SMILE', 'EMOT_SMILE', 'EMOT_SMILE', 'EMOT_SMILE', 'i', 'make', 'USER', 'typeonediabet', 'TYPEONE', 'URL']
pikesley_ebooks;Iron Man appeared in Breaking Bad “I put on my phone? “Give Me The Reason” by Luther Vandross is my blood glucose every hour I ain't;1;['iron', 'man', 'appear', 'break', 'bad', 'i', 'put', 'my', 'phone', 'give', 'me', 'reason', 'luther', 'vandross', 'my', 'blood', 'glucos', 'everi', 'hour', 'i']
leethediabetic;Eating well is great, I have my sweet tooth but learn how I face my mistakes and take control of my diabetes at… https://t.co/6uawPzMS10;1;['eat', 'well', 'great', 'i', 'my', 'sweet', 'tooth', 'learn', 'i', 'face', 'my', 'mistak', 'take', 'control', 'my', 'diabet', 'URL']
T1DF_advocacy;.@HealthPolicyHub KR stresses vital importance of the case for people with diabetes, cites consultation with T1DF,… https://t.co/fwVPhBcAh1;0;['USER', 'kr', 'stress', 'vital', 'import', 'case', 'peopl', 'diabet', 'cite', 'consult', 'typeonef', 'URL']
Jonathan999007;Apple secretly working on glucose monitoring for diabetes  https://t.co/bFiLCieLph;0;['appl', 'secret', 'work', 'glucos', 'monitor', 'diabet', 'URL']
Williamsone3L;Garcinia cambogia for diabetes - Is garcinia cambogia safe for diabetes and high blood pressure ... https://t.co/RkRtEVQSOd;0;['garcinia', 'cambogia', 'diabet', 'garcinia', 'cambogia', 'safe', 'diabet', 'high', 'blood', 'pressur', 'URL']
mindyc_;@SweetenedKate hi kate! i'm a senior editor at EH seeking writers with diabetes. we offer a competitive rate. would love to chat!;0;['USER', 'hi', 'kate', 'i', 'senior', 'editor', 'eh', 'seek', 'writer', 'diabet', 'offer', 'competit', 'rate', 'would', 'love', 'chat']
QIOProgram;"Help pts w #diabetes prevent amputations w blood sugar control, daily self-foot checks &amp; doc foot exams… https://t.co/GRzpL6VIPH";0;['help', 'pts', 'w', 'diabet', 'prevent', 'amput', 'w', 'blood', 'sugar', 'control', 'daili', 'self-foot', 'check', 'doc', 'foot', 'exam', 'URL']
scienceFlosh;Biochemical ‘fingerprints’ reveal diabetes progression https://t.co/KqM0hddY4U https://t.co/wCUKsRcqy2;0;['biochem', 'fingerprint', 'reveal', 'diabet', 'progress', 'URL', 'URL']
HeatherGabel;THIS!! Our #Diabetic Life: On Lilly's unconscionable insulin price increase: https://t.co/3tcPPzRjlM  #DOC #diabetes #InsulinForAll;1;['diabet', 'life', 'lilli', 'unconscion', 'insulin', 'price', 'increas', 'URL', 'doc', 'diabet', 'insulinforal']
torycrowder;@tomblackwellNP did you see the study release yesterday on the effects of seal oil on neuropathy for diabetes? Interview?;0;['USER', 'see', 'studi', 'releas', 'yesterday', 'effect', 'seal', 'oil', 'neuropathi', 'diabet', 'interview']
SciSeekFeed;The discovery of insulin by Rebecca Nesbit https://t.co/SyGfA86cVx;0;['discoveri', 'insulin', 'rebecca', 'nesbit', 'URL']
JanetKrahenbuhl;Woman with type 1 diabetes still off insulin one year after cell transplant - CBS News https://t.co/ZuyaUzbHUl;0;['woman', 'TYPEONE', 'diabet', 'still', 'insulin', 'one', 'year', 'cell', 'transplant', 'cbs', 'news', 'URL']
medicaldialogs;Breakthrough Study: Scientists achieve insulin independence in type 1 diabetes https://t.co/ZPYCQL05Wg #insulin #diabetes #diabetology;0;['breakthrough', 'studi', 'scientist', 'achiev', 'insulin', 'independ', 'TYPEONE', 'diabet', 'URL', 'insulin', 'diabet', 'diabetolog']
afsanamim245;Diabetes symptoms When diabetes symptoms are a concern Early Symptoms of Diabetes https://t.co/AIWmF90idp;0;['diabet', 'symptom', 'diabet', 'symptom', 'concern', 'earli', 'symptom', 'diabet', 'URL']
Nyadach;@OceanTragic Mostly end up changing insulin as often as it needs to when it gets cooked, and using normal… https://t.co/nEC8LBDesk;1;['USER', 'most', 'end', 'chang', 'insulin', 'often', 'need', 'get', 'cook', 'use', 'normal', 'URL']
novonordisk;There is a big increase in #NCDs, like #diabetes, among refugees and internally displaced people. Let’s take action… https://t.co/kZs35dwjZc;0;['big', 'increas', 'ncds', 'like', 'diabet', 'among', 'refuge', 'intern', 'displac', 'peopl', 'let', 'us', 'take', 'action', 'URL']
MollyMacT1D;@drtrangly #DDATA17 appreciate the drive in the diabetes community for better therapies;0;['USER', 'ddata', '17', 'appreci', 'drive', 'diabet', 'communiti', 'better', 'therapi']
BioPortfolio;App predicts blood glucose levels in type 2 diabetes https://t.co/mJtOa3HdKY;0;['app', 'predict', 'blood', 'glucos', 'level', 'TYPETWO', 'diabet', 'URL']
InternetNews19;"U.S. FDA warns of foot, leg amputations with J&amp;J diabetes drug https://t.co/I5lDF54uKQ";0;['fda', 'warn', 'foot', 'leg', 'amput', 'j', 'j', 'diabet', 'drug', 'URL']
chickiepilot;After @LillyPad cried a few weeks ago about cost of insulin. #Insulin4all https://t.co/WldvhT37RM;1;['USER', 'cri', 'week', 'ago', 'cost', 'insulin', 'insulin', '4all', 'URL']
rjsfeminist;"Apple Pie, Apricot-Orange Chicken w/Glazed Onions, &amp; more at https://t.co/6QHeLdgaPT. Updated M-F. #recipes @diabeticgourmet";0;['appl', 'pie', 'apricot-orang', 'chicken', 'w', 'glaze', 'onion', 'URL', 'updat', 'm-f', 'recip', 'USER']
SuzieMay08;"Alive!Survived sliding scale hypo 2.8 tried to say giving me too mch insulin ignord me ofcourse.Ankle pinned &amp;boot on.Cast nxt wk @theGBDOC";1;['aliv', 'surviv', 'slide', 'scale', 'hypo', '2.8', 'tri', 'say', 'give', 'me', 'mch', 'insulin', 'ignord', 'me', 'ofcourse.ankl', 'pin', 'boot', 'on.cast', 'nxt', 'wk', 'USER']
OrganicLiveFood;Research shows #organic raw foods can reverse #diabetes but giant Pharma n junk food Co benefit from selling sickn… https://t.co/QEPbCqUAKH;0;['research', 'show', 'organ', 'raw', 'food', 'revers', 'diabet', 'giant', 'pharma', 'n', 'junk', 'food', 'co', 'benefit', 'sell', 'sickn', 'URL']
MathengeMaina2;Don't deny us life support. We need it. #diabetes #insulin4all #T1D #diabeticSpy #diabetic https://t.co/6Q2NVFdqt1;1;['deni', 'us', 'life', 'support', 'need', 'diabet', 'insulin', '4all', 'TYPEONE', 'diabeticspi', 'diabet', 'URL']
martiandiaries;#TheDayOfTheMartians author #HGWells used his #diabetes in a practical way to help others. https://t.co/nXsQQJHLOS;0;['thedayofthemartian', 'author', 'hgwell', 'use', 'diabet', 'practic', 'way', 'help', 'other', 'URL']
Tidepool_org;An innovative way to get people with diabetes to interact with their data? Of course we’re fans. Congrats @mysugr! https://t.co/k4r2Mbfzgj;0;['innov', 'way', 'get', 'peopl', 'diabet', 'interact', 'data', 'cours', 'fan', 'congrat', 'USER', 'URL']
SSide_Diabetes;The 61st St. Farmer’s Market is every Saturday, from 9am-2pm! Tour @10:30! @61market #diabetes #freshproduce https://t.co/GZtg8oZmZH;0;['61st', 'st', 'farmer', 'market', 'everi', 'saturday', '9am', '2pm', 'tour', 'USER', '30', 'USER', 'diabet', 'freshproduc', 'URL']
MMMnews;5 things for #pharma #marketers to know: Tues., May 30 $AZN #healthcare #diabetes #drugprices #ADHD $GILD $MRK… https://t.co/kwIpzPSLvD;0;['5', 'thing', 'pharma', 'market', 'know', 'tue', 'may', '30', 'azn', 'healthcar', 'diabet', 'drugpric', 'adhd', 'gild', 'mrk', 'URL']
drnickgreiner;You can become insulin resistant in 4 days.  Stop with the carbs already.;1;['becom', 'insulin', 'resist', '4', 'day', 'stop', 'carb', 'alreadi']
JRFuller321;Best ice cream for type 2 #diabetes - Medical News Today #healthcare #Insulin4all #Diet  https://t.co/sk8gkER5xp;1;['best', 'ice', 'cream', 'TYPETWO', 'diabet', 'medic', 'news', 'today', 'healthcar', 'insulin', '4all', 'diet', 'URL']
that_type1_life;"At a function 2night &amp; ate an arancini ball (size:large) w/o injecting... 'I knew you were trouble' seems an apt song for the situation #t1d";1;['function', '2night', 'eat', 'arancini', 'ball', 'size', 'larg', 'w', 'inject', 'i', 'know', 'troubl', 'seem', 'apt', 'song', 'situat', 'TYPEONE']
JDRF_SEMich;"Gavin: Pramlintide initiation in #T1D could lower A1c by 1%, reduce glucose fluctuations &amp; allow body to require less insulin #TypeOneNation";0;['gavin', 'pramlintid', 'initi', 'TYPEONE', 'could', 'lower', 'a1c', '1', 'reduc', 'glucos', 'fluctuat', 'allow', 'bodi', 'requir', 'less', 'insulin', 'typeonen']
FitFamTweets;Study reveals people who eat fast food over 2x/wk are usually 10lbs heavier and have higher insulin levels than those who don't #nutrition;0;['studi', 'reveal', 'peopl', 'eat', 'fast', 'food', '2x', 'wk', 'usual', '10lbs', 'heavier', 'higher', 'insulin', 'level', 'nutrit']
joylandmum;"Lunch times are proving to be problem for Ally, she eats really slow (gets bored) &amp; I don't want to split her insulin dose #type1diabetes";1;['lunch', 'time', 'prove', 'problem', 'alli', 'eat', 'realli', 'slow', 'get', 'bore', 'i', 'want', 'split', 'insulin', 'dose', 'TYPEONE']
FootRichmond;Everyday foot care - Diabetes UK https://t.co/qrOv58VrZx #footcare #foothealth #diabetes;0;['everyday', 'foot', 'care', 'diabet', 'uk', 'URL', 'footcar', 'foothealth', 'diabet']
celiacelia100;Return to the 90s  #Spalding supporting @JDRFUK  #type1 #diabetes. Well done @JennyCarr79 @Gemmaleanne20  http:https://t.co/xBekflb610;1;['return', '90s', 'spald', 'support', 'USER', 'TYPEONE', 'diabet', 'well', 'do', 'USER', 'USER', 'URL']
Pro_Bharati;The villain role of starchy carbs in #diabetes  explained well. #LowCarb #HighFiber #Grain2Green is the real dietar… https://t.co/wwC0ioUlNg;0;['villain', 'role', 'starchi', 'carb', 'diabet', 'explain', 'well', 'lowcarb', 'highfib', 'grain', '2green', 'real', 'dietar', 'URL']
himmoderator;National #sodatax? #Sugarydrinks cause #caries #obesity #diabetes #disability #death. https://t.co/aWF872WyVg;0;['nation', 'sodatax', 'sugarydrink', 'cari', 'obes', 'diabet', 'disabl', 'death', 'URL']
EIPGeu;Long-acting insulin price concerns challenge WHO proposal https://t.co/4Z5AVMw8Gs via @InPharmaTechno;0;['long-act', 'insulin', 'price', 'concern', 'challeng', 'propos', 'URL', 'via', 'USER']
ElenaSgarbossa;"The good news is, we humans thrive on plant-based diets
#WFPB #diet #diabetes 
The Human Victims of Factory Farming https://t.co/vssLhsXANi";1;['good', 'news', 'human', 'thrive', 'plant-bas', 'diet', 'wfpb', 'diet', 'diabet', 'human', 'victim', 'factori', 'farm', 'URL']
ShitKitchSays;Oh my god it smells like diabetes;1;['oh', 'my', 'god', 'smell', 'like', 'diabet']
cstevens338;Help us reach our goal! We HATE type 1 diabetes. https://t.co/5Bd4aCxaZd;1;['help', 'us', 'reach', 'goal', 'hate', 'TYPEONE', 'diabet', 'URL']
andyfry01;Inspirational talk, Justin frm @teamnovonordisk visiting @SheffieldHosp.  #T1D challenge not barrier. #pwd need 2hear this! #diabetes #gbdoc;1;['inspir', 'talk', 'justin', 'frm', 'USER', 'visit', 'USER', 'TYPEONE', 'challeng', 'barrier', 'pwd', 'need', '2hear', 'diabet', 'gbdoc']
pulsinandbeond;Find out more about blood sugar management and insulin in this blog from @anthrobotanica https://t.co/5quQRdpO8k #nutrition #health;0;['find', 'blood', 'sugar', 'manag', 'insulin', 'blog', 'USER', 'URL', 'nutrit', 'health']
_CharlotteLA_;Spending today talking about #type1diabetes w/ a panel of other young people. A world away from arm bars and back bumps! #WrestlingWithT1D 😄;0;['spend', 'today', 'talk', 'TYPEONE', 'w', 'panel', 'young', 'peopl', 'world', 'away', 'arm', 'bar', 'back', 'bump', 'wrestlingwithtypeon', 'EMOT_LAUGH']
sutedoug;You do not know when diabetes strikes hard, always carry your life saving insulin, glucagon-if you have, at least... https://t.co/23HxrYdOgK;1;['know', 'diabet', 'strike', 'hard', 'alway', 'carri', 'life', 'save', 'insulin', 'glucagon-if', 'least', 'URL']
solotrader;Aston's successes, including the Manhattan Stock Exchange, will include embryos that help relied on type 1 diabetes, a REDEK.;1;['aston', 'success', 'includ', 'manhattan', 'stock', 'exchang', 'includ', 'embryo', 'help', 'reli', 'TYPEONE', 'diabet', 'redek']
diabetes0001;Check out for this permanent solution to your diabetes;0;['check', 'perman', 'solut', 'diabet']
darthskeptic;@DocBastard @DivaLives1 (An apple is usually .75-2.5 units of rapid acting insulin, depending on size and sensitivity);0;['USER', 'USER', 'appl', 'usual', '75-2', '5', 'unit', 'rapid', 'act', 'insulin', 'depend', 'size', 'sensit']
MedscapePharm;A review of #diabetic gastroparesis for the community pharmacist: https://t.co/WMiT5z06Uf https://t.co/CLGcdRdaeP;0;['review', 'diabet', 'gastroparesi', 'communiti', 'pharmacist', 'URL', 'URL']
BadShoe;Meter Accuracy Study - DTS https://t.co/AvMvJEWxxF #dblog #diabetes;1;['meter', 'accuraci', 'studi', 'dts', 'URL', 'dblog', 'diabet']
LinsayHalladay;"@theGBDOC Oh yeah, a wicked wizard, knowing #Obamacare going, &amp; NHS underfunded, thought, haha! Hehe!  I'll raise insulin prices.";1;['USER', 'oh', 'yeah', 'wick', 'wizard', 'know', 'obamacar', 'go', 'nhs', 'underfund', 'think', 'haha', 'hehe', 'i', 'rais', 'insulin', 'price']
bondj700;Passport all sorted watch out world #baddiabeticsontour coming soon to bar near you.... @jhgale #t1d #t1diabetes https://t.co/SAKcjm5eUz;1;['passport', 'sort', 'watch', 'world', 'baddiabeticsontour', 'come', 'soon', 'bar', 'near', 'USER', 'TYPEONE', 'typeoneiabet', 'URL']
PatiaDiabetes;Fresh Peppers !! #harvestedvegetables #vegetables #red #garden #type2diabetes #diabetes #healthyfood #naturallife …… https://t.co/FVmS7DsYra;0;['fresh', 'pepper', 'harvestedveget', 'veget', 'red', 'garden', 'TYPETWO', 'diabet', 'healthyfood', 'naturallif', 'URL']
SiHortumHabes;Porridge,  I've avoided you too long and I've missed you. Power #breakfast  #gbdoc https://t.co/yemLHQaOZn;1;['porridg', 'i', 'avoid', 'long', 'i', 'miss', 'power', 'breakfast', 'gbdoc', 'URL']
sci_env;A dual-functional GLP-1 analogue may improve insulin sensitivity and help fight diabetes Scientists have discovered… https://t.co/69yuYkr5jE;0;['dual-funct', 'glp', '1', 'analogu', 'may', 'improv', 'insulin', 'sensit', 'help', 'fight', 'diabet', 'scientist', 'discov', 'URL']
katherinekarthi;Chillies for diabetes https://t.co/z0f81zDRhc https://t.co/jGZVCqJ5Vo;0;['chilli', 'diabet', 'URL', 'URL']
rogusamunechita;Rays acquire adeiny hechavarria - mlb trade rumors diabetic boils treatment;0;['ray', 'acquir', 'adeini', 'hechavarria', 'mlb', 'trade', 'rumor', 'diabet', 'boil', 'treatment']
science_lan;A 8216,smart8217, patch that automatically delivers insulin when neede. #Neuroscience #Biotech #Cultureed. [… https://t.co/DKDFio4Q4c;0;['8216', 'smart', '8217', 'patch', 'automat', 'deliv', 'insulin', 'need', 'neurosci', 'biotech', 'cultur', 'URL']
BiologyAnswers;35. How are insulin and glucagon involved in blood glucose control? #study #health https://t.co/9TTDL98g9b;0;['35', 'insulin', 'glucagon', 'involv', 'blood', 'glucos', 'control', 'studi', 'health', 'URL']
diabetescureme;Revealed: rapid weight loss diet could combat the diabetes epidemic https://t.co/PkcX6I3gXD;0;['reveal', 'rapid', 'weight', 'loss', 'diet', 'could', 'combat', 'diabet', 'epidem', 'URL']
Curatiotech;Smartphone 'orders' body to treat diabetes - BBC News https://t.co/LNCM2JEINY;0;['smartphon', 'order', 'bodi', 'treat', 'diabet', 'bbc', 'news', 'URL']
Diabetes_Ther;Diabetes Therapy journal is now live on Twitter! Follow us for the latest news and content in the field of #diabetes;0;['diabet', 'therapi', 'journal', 'live', 'twitter', 'follow', 'us', 'latest', 'news', 'content', 'field', 'diabet']
AAOSHconnect;Did you know? Up to 95% of people with diabetes also have periodontal disease.  #diabetes #periodontaldisease https://t.co/euwV3f0pIp;0;['know', '95', 'peopl', 'diabet', 'also', 'periodont', 'diseas', 'diabet', 'periodontaldiseas', 'URL']
OmniaMedUK;UCL: Type 2 diabetes genetic mapping identifies new 'loci' https://t.co/NGiA0BqI9c;0;['ucl', 'TYPETWO', 'diabet', 'genet', 'map', 'identifi', 'new', 'loci', 'URL']
SoleFootAnkle;85% of amputations in the US are performed on #diabetic patients.  These stats are projected to double.  https://t.co/jeYCusYWD6;0;['85', 'amput', 'us', 'perform', 'diabet', 'patient', 'stat', 'project', 'doubl', 'URL']
AltMedHealth;Marijuana and diabetes: Benefits, disadvantages, and legality https://t.co/s8vLHoHpOv #AlternativeMedicine ?;0;['marijuana', 'diabet', 'benefit', 'disadvantag', 'legal', 'URL', 'alternativemedicin']
MailOnline;Relax, you can beat diabetes... by doing yoga https://t.co/W0HRgRXRkQ;1;['relax', 'beat', 'diabet', 'yoga', 'URL']
HelmsleyTrust;A new way to access #diabetes care has changed the life of one mom w/ T1D: https://t.co/UdMAGsTWwH Happy… https://t.co/yZR9orbpTS;0;['new', 'way', 'access', 'diabet', 'care', 'chang', 'life', 'one', 'mom', 'w', 'TYPEONE', 'URL', 'happi', 'URL']
ARecipeForLife;"High #triglyceride levels R associated w impending #diabetes #heart disease &amp; #stroke #AmericanStrokeAwarenessMonth https://t.co/LF5H6AxOYx";0;['high', 'triglycerid', 'level', 'associ', 'w', 'impend', 'diabet', 'heart', 'diseas', 'stroke', 'americanstrokeawarenessmonth', 'URL']
diabetes_alerts;Autism-linked condition helped by diabetes drug  https://t.co/Y0dpfOsH4B;0;['autism-link', 'condit', 'help', 'diabet', 'drug', 'URL']
mudcakesandwine;"It was three years ago that OB was diagnosed with #type1diabetes we have been through so much &amp; are so proud of our… https://t.co/RrzQes4yuz";1;['three', 'year', 'ago', 'ob', 'diagnos', 'TYPEONE', 'much', 'proud', 'URL']
kingshealth;No we have Prof Francesco Rubino updating us on advances in metabolic surgery to treat #diabetes;0;['prof', 'francesco', 'rubino', 'updat', 'us', 'advanc', 'metabol', 'surgeri', 'treat', 'diabet']
macguy4322;#flowers #flowersofinstagram #stopdiabetes #jnj #jnjdonateaphoto @ Foothills City Park https://t.co/P4gOEBa3Q1;0;['flower', 'flowersofinstagram', 'stopdiabet', 'jnj', 'jnjdonateaphoto', 'foothil', 'citi', 'park', 'URL']
robmtaub;My mother died from complications of type 1 diabetes.  As a type 2 diabetic I've dedicated my life to diabetes awar… https://t.co/chFzaxxi07;1;['my', 'mother', 'die', 'complic', 'TYPEONE', 'diabet', 'TYPETWO', 'diabet', 'i', 'dedic', 'my', 'life', 'diabet', 'awar', 'URL']
microRNA_papers;Role of MicroRNAs in type 2 diabetes and associated vascular complications. https://t.co/tKiUKDwgqf;0;['role', 'microrna', 'TYPETWO', 'diabet', 'associ', 'vascular', 'complic', 'URL']
smnutritionist;Benefits of #metformin may involve #gutbacteria https://t.co/cSS509H8MA #guthealth #gutmicrobiome #diabetesprevention #diabetes;0;['benefit', 'metformin', 'may', 'involv', 'gutbacteria', 'URL', 'guthealth', 'gutmicrobiom', 'diabetesprevent', 'diabet']
diafyt;hot dog-identifying app from @HBO Silicon Valley raises attention .. anyone interested in smart #diabetes devices?  https://t.co/1kMjGe9nv1;0;['hot', 'dog-identifi', 'app', 'USER', 'silicon', 'valley', 'rais', 'attent', 'anyon', 'interest', 'smart', 'diabet', 'devic', 'URL']
